date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:06:53	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:22%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/anothermansdaughter.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/anothermansdaughter.jpg	(from http://my-iddah.com/widow/)
02:06:53	35283/35283	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:24%20GMT	http://my-iddah.com/the-single-parent-guide-to-quick-and-healthy-cooking/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/the-single-parent-guide-to-quick-and-healthy-cooking/index.html	(from http://my-iddah.com/widow/)
02:06:54	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:23%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/TheSingleParentGuidetoQuickandHealthyCooking.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/TheSingleParentGuidetoQuickandHealthyCooking.jpg	(from http://my-iddah.com/widow/)
02:06:57	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:25%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/whentruelovecomestwice-1.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/whentruelovecomestwice-1.jpg	(from http://my-iddah.com/widow/)
02:06:58	28639/28639	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:28%20GMT	http://my-iddah.com/accepting-allahs-decree/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/accepting-allahs-decree/index.html	(from http://my-iddah.com/widow/)
02:06:59	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:28%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/acceptingallahsddecree.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/acceptingallahsddecree.jpg	(from http://my-iddah.com/widow/)
02:07:00	28890/28890	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:30%20GMT	http://my-iddah.com/from-a-sister-to-a-widow-2/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/from-a-sister-to-a-widow-2/index.html	(from http://my-iddah.com/widow/)
02:07:00	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:29%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/formersistertoawidow.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/formersistertoawidow.jpg	(from http://my-iddah.com/widow/)
02:07:01	36476/36476	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:31%20GMT	http://my-iddah.com/daring-to-hope-again/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/daring-to-hope-again/index.html	(from http://my-iddah.com/widow/)
02:07:02	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:31%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/daringtohopeagain.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/daringtohopeagain.jpg	(from http://my-iddah.com/widow/)
